# goal planned for: G3
# Kw_r1_P = (Kw r1 pallet-at_bay2)
# K_r2_Kw_r1_P = (K r2 (Kw r1 pallet-at_bay2))
# Kw_r2_P = (Kw r2 pallet-at_bay2)
wall_s,sim_s,phase,Kw_r1_P,K_r2_Kw_r1_P,Kw_r2_P
0.572603,0,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",no-answer,FALSE,FALSE
1.31011,0,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
1.57237,0,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
2.07235,0,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
2.57237,0,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
3.0724,0,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
3.57234,0.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
4.07233,0.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
4.57238,1.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
5.07238,1.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
5.57229,2.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
6.07234,2.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
6.57234,3.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
7.07234,3.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
7.57234,4.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
8.07233,4.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
8.57232,5.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
9.07233,5.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
9.57233,6.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
10.0724,6.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
10.5723,7.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
11.0723,7.5,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
11.5723,8,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
12.0723,8.5,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
12.5723,9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
13.0724,9.5,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
13.5724,10,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
14.0723,10.5,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
14.5723,11,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
15.0724,11.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
15.5723,11.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
16.0724,12.4,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
16.5728,12.9,"STARTING UP: Gazebo, SLAM, Nav2, ePlanSys",FALSE,FALSE,FALSE
