instance,domain,agents,bays,candidates,items,placement,goal,atoms,worlds,designated,ground_actions,heuristic,strategy,depth,expanded,generated,leaves,branches,ground_s,plan_s,status
directed-a2-b3-u2-depot-nested,directed,2,3,2,,depot,nested,20,2,2,17,knowledge-spread,AO*,3,37,46,2,4,0.019,0.002,solved
directed-a2-b3-u2-spread-nested,directed,2,3,2,,spread,nested,20,2,2,17,knowledge-spread,AO*,3,48,61,2,4,0.019,0.002,solved
directed-a2-b4-u2-depot-nested,directed,2,4,2,,depot,nested,30,2,2,24,knowledge-spread,AO*,4,88,98,2,5,0.022,0.002,solved
directed-a2-b4-u2-spread-nested,directed,2,4,2,,spread,nested,30,2,2,24,knowledge-spread,AO*,4,123,138,2,5,0.022,0.002,solved
directed-a2-b4-u3-depot-nested,directed,2,4,3,,depot,nested,30,3,3,24,knowledge-spread,AO*,5,414,474,3,7,0.022,0.004,solved
directed-a2-b4-u3-spread-nested,directed,2,4,3,,spread,nested,30,3,3,24,knowledge-spread,AO*,5,590,678,3,7,0.022,0.005,solved
directed-a2-b5-u2-depot-nested,directed,2,5,2,,depot,nested,42,2,2,31,knowledge-spread,AO*,5,245,256,2,6,0.026,0.003,solved
directed-a2-b5-u2-spread-nested,directed,2,5,2,,spread,nested,42,2,2,31,knowledge-spread,AO*,5,358,375,2,6,0.027,0.004,solved
directed-a2-b5-u3-depot-nested,directed,2,5,3,,depot,nested,42,3,3,31,knowledge-spread,AO*,6,912,987,3,8,0.032,0.006,solved
directed-a2-b5-u3-spread-nested,directed,2,5,3,,spread,nested,42,3,3,31,knowledge-spread,AO*,6,1347,1462,3,8,0.034,0.009,solved
directed-a3-b3-u2-depot-nested,directed,3,3,2,,depot,nested,24,2,2,33,knowledge-spread,AO*,3,56,71,2,4,0.026,0.002,solved
directed-a3-b3-u2-depot-private,directed,3,3,2,,depot,private,24,2,2,33,knowledge-spread,AO*,3,56,71,2,4,0.027,0.003,solved
directed-a3-b3-u2-spread-nested,directed,3,3,2,,spread,nested,24,2,2,33,knowledge-spread,AO*,3,71,90,2,4,0.029,0.003,solved
directed-a3-b3-u2-spread-private,directed,3,3,2,,spread,private,24,2,2,33,knowledge-spread,AO*,3,71,90,2,4,0.029,0.003,solved
directed-a3-b4-u2-depot-nested,directed,3,4,2,,depot,nested,35,2,2,46,knowledge-spread,AO*,4,163,180,2,5,0.037,0.003,solved
directed-a3-b4-u2-depot-private,directed,3,4,2,,depot,private,35,2,2,46,knowledge-spread,AO*,4,163,180,2,5,0.037,0.004,solved
directed-a3-b4-u2-spread-nested,directed,3,4,2,,spread,nested,35,2,2,46,knowledge-spread,AO*,4,305,332,2,5,0.039,0.004,solved
directed-a3-b4-u2-spread-private,directed,3,4,2,,spread,private,35,2,2,46,knowledge-spread,AO*,4,305,332,2,5,0.041,0.004,solved
directed-a3-b4-u3-depot-nested,directed,3,4,3,,depot,nested,35,3,3,46,knowledge-spread,AO*,5,1158,1306,3,7,0.054,0.008,solved
directed-a3-b4-u3-depot-private,directed,3,4,3,,depot,private,35,3,3,46,knowledge-spread,AO*,5,1158,1306,3,7,0.055,0.011,solved
directed-a3-b4-u3-spread-nested,directed,3,4,3,,spread,nested,35,3,3,46,knowledge-spread,AO*,5,2417,2707,3,7,0.048,0.013,solved
directed-a3-b4-u3-spread-private,directed,3,4,3,,spread,private,35,3,3,46,knowledge-spread,AO*,5,2417,2707,3,7,0.048,0.014,solved
directed-a3-b5-u2-depot-nested,directed,3,5,2,,depot,nested,48,2,2,59,knowledge-spread,AO*,5,630,649,2,6,0.105,0.005,solved
directed-a3-b5-u2-depot-private,directed,3,5,2,,depot,private,48,2,2,59,knowledge-spread,AO*,5,630,649,2,6,0.105,0.005,solved
directed-a3-b5-u2-spread-nested,directed,3,5,2,,spread,nested,48,2,2,59,knowledge-spread,AO*,5,1434,1465,2,6,0.117,0.009,solved
directed-a3-b5-u2-spread-private,directed,3,5,2,,spread,private,48,2,2,59,knowledge-spread,AO*,5,1434,1465,2,6,0.107,0.008,solved
directed-a3-b5-u3-depot-nested,directed,3,5,3,,depot,nested,48,3,3,59,knowledge-spread,AO*,6,3274,3456,3,8,0.168,0.018,solved
directed-a3-b5-u3-depot-private,directed,3,5,3,,depot,private,48,3,3,59,knowledge-spread,AO*,6,3274,3456,3,8,0.179,0.019,solved
directed-a3-b5-u3-spread-nested,directed,3,5,3,,spread,nested,48,3,3,59,knowledge-spread,AO*,6,8059,8449,3,8,0.192,0.038,solved
directed-a3-b5-u3-spread-private,directed,3,5,3,,spread,private,48,3,3,59,knowledge-spread,AO*,6,8059,8449,3,8,0.171,0.045,solved
directed-a4-b3-u2-depot-nested,directed,4,3,2,,depot,nested,28,2,2,55,knowledge-spread,AO*,3,79,100,2,4,0.038,0.003,solved
directed-a4-b3-u2-depot-private,directed,4,3,2,,depot,private,28,2,2,55,knowledge-spread,AO*,3,79,100,2,4,0.041,0.010,solved
directed-a4-b3-u2-spread-nested,directed,4,3,2,,spread,nested,28,2,2,55,knowledge-spread,AO*,3,98,123,2,4,0.039,0.003,solved
directed-a4-b3-u2-spread-private,directed,4,3,2,,spread,private,28,2,2,55,knowledge-spread,AO*,3,98,123,2,4,0.038,0.003,solved
directed-a4-b4-u2-depot-nested,directed,4,4,2,,depot,nested,40,2,2,76,knowledge-spread,AO*,4,272,296,2,5,0.116,0.004,solved
directed-a4-b4-u2-depot-private,directed,4,4,2,,depot,private,40,2,2,76,knowledge-spread,AO*,4,272,296,2,5,0.121,0.005,solved
directed-a4-b4-u2-spread-nested,directed,4,4,2,,spread,nested,40,2,2,76,knowledge-spread,AO*,4,482,516,2,5,0.123,0.005,solved
